"id","cat","1","pa","name","fg_key","Season","min","mean","prop","raw_rapm","rapm"
456781,"batter",-1.19528368888004e-39,408,"Donovan Solano",8623,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.728814624029371,107.694954561537,105.60819541569
457705,"batter",3.34118013847426e-38,482,"Andrew McCutchen",9847,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.749022774420694,119.27394562807,114.436624228371
457708,"batter",4.27674848210957e-39,332,"Justin Upton",5222,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.703822860814698,109.525811205166,106.704483694001
457727,"batter",-2.75418419468051e-38,206,"Cameron Maybin",5223,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.645959321749213,98.8798069681063,99.2764008688898
457759,"batter",7.18000977193894e-38,366,"Justin Turner",5235,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.715643701877642,132.118071025302,122.985095245716
457803,"batter",3.70595036299197e-39,204,"Jay Bruce",9892,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.644776469154498,109.334831054483,106.018879407463
458015,"batter",5.16419403376961e-38,462,"Joey Votto",4314,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.743884656856028,125.373465874541,118.874931955331
458731,"batter",8.92331165319609e-39,336,"Brett Gardner",9927,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.705274871334573,111.080478792269,107.814783254543
459964,"batter",-2.6759012722502e-39,310,"Matthew Joyce",3353,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.695510224534149,107.199563004163,105.007369681573
460075,"batter",1.91430419213944e-38,286,"Ryan Braun",3410,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.685740531159216,114.49984119237,109.94312880098
460077,"batter",-1.61248079733388e-37,86,"Drew Butera",3411,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.54005143272259,54.1437845733575,75.235285159606
460086,"batter",-1.74529242573876e-38,370,"Alex Gordon",5209,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.716961556475487,102.255401518998,101.617036183538
461314,"batter",4.39125752319089e-39,262,"Matt Kemp",5631,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.675114046378568,109.564124144869,106.456874551509
461865,"batter",3.14800082343501e-38,8,"Andrew Romine",1159,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.252114464624618,118.627597760771,104.696286836699
462101,"batter",-2.58031718390735e-38,222,"Elvis Andrus",8709,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.655028327735495,99.4615388765361,99.6472927107469
465041,"batter",3.02676536309838e-38,124,"Francisco Cervelli",5275,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.58441782656256,118.221962813707,110.649239903291
466988,"batter",-3.08939566850714e-37,6,"Emilio Bonifacio",4054,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.217235478981343,4.72851581274422,79.3036534993181
467055,"batter",-2.03123291376202e-38,188,"Pablo Sandoval",5409,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.634873707933271,101.298689230361,100.824503647133
467092,"batter",7.71606585383051e-39,310,"Wilson Ramos",1433,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.695510224534149,110.676553171368,107.425651893469
467793,"batter",4.38351753628015e-38,528,"Carlos Santana",2396,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.760074193752033,122.761444038246,117.300386226002
474568,"batter",-6.70743872137793e-38,44,"Jordy Mercer",6547,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.458800559895818,85.6528337194263,93.4175120775544
474832,"batter",1.05515374399986e-37,356,"Brandon Belt",10264,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.71228499874969,143.398676908745,130.912226527684
475253,"batter",-5.32904819208909e-38,264,"Justin Smoak",9054,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.67603603887716,90.2647135096124,93.418595483704
488671,"batter",6.45962208014262e-39,124,"Alex Avila",7476,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.58441782656256,110.25616667536,105.993886637277
488726,"batter",6.69116140501548e-39,394,"Michael Brantley",4106,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.724581326142652,110.333636123265,107.487559766071
488771,"batter",3.49291709273818e-38,184,"Jason Castro",8722,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.632266264873819,119.781633817973,112.507259727191
489149,"batter",-4.99638504055475e-38,56,"Logan Morrison",9205,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.488039392353231,91.3777525452856,95.792003591482
493316,"batter",-2.16818665481595e-38,68,"Yoenis Céspedes",13110,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.511579145048028,100.840463366837,100.429963530651
