"id","cat","X1","pa","name","fg_key"
501981,"batter",-0.000261148085349956,535,"Khris Davis",9112
501985,"batter",-0.0639018267735315,10,"Mike Minor",10021
502026,"batter",-0.089452681867469,1,"Jeremy Jeffress",9490
502042,"batter",-0.053264168992563,41,"Chris Archer",6345
502043,"batter",-0.0382135611655575,4,"Kyle Gibson",10123
502054,"batter",0.00855100624741457,677,"Tommy Pham",2967
502110,"batter",0.0241407571128108,649,"J. D. Martinez",6184
502117,"batter",-0.0228756276012951,82,"Kristopher Negron",5306
502188,"batter",-0.0656912134849532,56,"Jeff Samardzija",3254
502190,"batter",-0.0563222666683266,24,"Mike Leake",10130
502210,"batter",-0.00234633537888143,588,"Josh Reddick",3892
502239,"batter",-0.0210262533089865,3,"Trevor Cahill",6249
502273,"batter",-0.0153297485160476,213,"Mike Freeman",11241
502481,"batter",-0.0143160214306833,452,"Jarrod Dyson",4866
502517,"batter",-0.00599244230597852,478,"Daniel Murphy",4316
502570,"batter",-0.0492121806791071,15,"Rocky Gale",10533
502624,"batter",-0.0543340936251114,44,"Chase Anderson",6895
502671,"batter",0.011351861181274,719,"Paul Goldschmidt",9218
502706,"batter",-0.0669379847294591,16,"Derek Holland",4141
503556,"batter",0.00132979928467623,472,"Marwin Gonzalez",5497
504379,"batter",-0.0578787766373363,2,"Juan Nicasio",7731
506433,"batter",-0.0532441261145605,62,"Yu Darvish",13074
506702,"batter",-0.0237407303985104,191,"Sandy Leon",5273
506703,"batter",-0.0345382671168705,32,"Adrian Sanchez",11338
514888,"batter",0.0094186176902398,630,"Jose Altuve",5417
514913,"batter",-0.0628726783296517,9,"Ruben Tejada",5519
514917,"batter",-0.00643693906924409,663,"Cesar Hernandez",10556
516416,"batter",-0.00343694408953081,618,"Jean Segura",5933
516770,"batter",-0.00140109230793841,675,"Starlin Castro",4579
516782,"batter",0.00999250974076624,587,"Starling Marte",9241
517369,"batter",-0.0135657774591795,24,"Jose Pirela",5485
518452,"batter",-0.0372016278879958,10,"Chad Bettis",10587
518516,"batter",-0.0339257805730526,76,"Madison Bumgarner",5524
518542,"batter",-0.0064090307406191,18,"Juan Centeno",7168
518553,"batter",-0.055374462403901,2,"Steve Cishek",6483
518568,"batter",-0.0128238194642097,8,"Christian Colon",11145
518586,"batter",-0.0119345118802586,144,"Charlie Culberson",3298
518595,"batter",0.00214980431510893,416,"Travis d'Arnaud",7739
518614,"batter",-0.0144057077667184,196,"Daniel Descalso",8392
518618,"batter",0.0121870372226536,305,"Derek Dietrich",10542
518626,"batter",0.0187362649521633,679,"Josh Donaldson",5038
518633,"batter",-0.0673975510178882,4,"Danny Duffy",3542
518653,"batter",-0.0152306268313544,49,"Jake Elmore",7290
518692,"batter",0.0229289135435635,704,"Freddie Freeman",5361
518735,"batter",0.016004693682583,635,"Yasmani Grandal",11368
518792,"batter",0.00238558575877058,585,"Jason Heyward",4940
518876,"batter",-0.0606309847838425,60,"Merrill Kelly",11156
518934,"batter",0.0184567149830791,699,"DJ LeMahieu",9874
518960,"batter",-0.00171381831781694,327,"Jonathan Lucroy",7870
519008,"batter",-0.0818847277447159,5,"T. J. McFarland",3237
519048,"batter",0.0107554376436848,335,"Mitch Moreland",3086
519058,"batter",0.0100019082955093,583,"Mike Moustakas",4892
519076,"batter",-0.0905975974795128,3,"Jimmy Nelson",10547
519141,"batter",-0.0785946911241985,21,"Drew Pomeranz",11426
519144,"batter",-0.082477169752895,6,"Rick Porcello",2717
519203,"batter",0.020810826034231,610,"Anthony Rizzo",3473
519222,"batter",-0.00440337486186015,240,"Austin Romine",5491
519293,"batter",0.0554986279811579,2,"Will Smith",8048
519299,"batter",-0.00101025917627638,445,"Eric Sogard",7927
519317,"batter",0.0211811037421122,90,"Giancarlo Stanton",4949
519346,"batter",0.00311759752184844,460,"Eric Thames",3711
519390,"batter",0.0042671514394272,279,"Stephen Vogt",5000
519393,"batter",-0.0922262226975866,1,"Marcus Walden",8004
519455,"batter",-0.0916357518362616,2,"Jordan Zimmermann",4505
